stage17_run_id,cell_index,cell_id,circuit_i,circuit_j,q1_absolute_difference,q2_absolute_difference,q3_absolute_difference,q4_absolute_difference,maximum_absolute_difference,maximum_distance_subset,same_primary_transfer_group
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,C1,C4,0.004924592182209864,0.023809523809523836,0.023496240601503793,0.043048469387755084,0.043048469387755084,Q4,False
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,C1,C5,0.01415820252385347,0.025689223057644095,0.023496240601503793,0.06377551020408156,0.06377551020408156,Q4,False
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,C1,C6,0.015389350569405935,0.013784461152882233,0.013157894736842146,0.042091836734693855,0.042091836734693855,Q4,False
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,C2,C3,0.028624192059095055,0.013157894736842035,0.015037593984962405,0.05389030612244905,0.05389030612244905,Q4,False
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,C2,C4,0.010772545398584188,0.016290726817042578,0.01848370927318299,0.023278061224489832,0.023278061224489832,Q4,False
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,C2,C5,0.008310249307479145,0.018170426065162837,0.01848370927318299,0.04400510204081631,0.04400510204081631,Q4,False
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,C2,C6,0.009541397353031611,0.006265664160400974,0.008145363408521344,0.022321428571428603,0.022321428571428603,Q4,False
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,C3,C4,0.03939673745767924,0.0031328320802005427,0.003446115288220586,0.030612244897959218,0.03939673745767924,Q1,True
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,C3,C5,0.02031394275161591,0.005012531328320802,0.003446115288220586,0.009885204081632737,0.02031394275161591,Q1,True
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,C3,C6,0.019082794706063444,0.006892230576441061,0.006892230576441061,0.03156887755102045,0.03156887755102045,Q4,True
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,C4,C5,0.019082794706063333,0.001879699248120259,0.0,0.02072704081632648,0.02072704081632648,Q4,True
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,C4,C6,0.0203139427516158,0.010025062656641603,0.010338345864661647,0.000956632653061229,0.0203139427516158,Q1,True
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,C5,C6,0.001231148045552466,0.011904761904761862,0.010338345864661647,0.02168367346938771,0.02168367346938771,Q4,True
stage17-sensitivity-s1-7801e7938531,4,s1-step9050-f17of20-d1of4,C1,C2,0.008925823330255489,0.015977443609022535,0.01159147869674182,0.034438775510204134,0.034438775510204134,Q4,True
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,C1,C2,0.008925823330255489,0.015977443609022535,0.01159147869674182,0.034438775510204134,0.034438775510204134,Q4,False
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,C1,C3,0.052631578947368474,0.013471177944862078,0.011278195488721776,0.07684948979591844,0.07684948979591844,Q4,False
stage17-sensitivity-s1-7801e7938531,5,s1-step9050-f17of20-d1of2,C1,C4,0.017851646660510978,0.014411027568922208,0.015037593984962405,0.04878826530612246,0.04878826530612246,Q4,False
