stage18_run_id,comparison_id,matching_method,model_seed,left_checkpoint_step,right_checkpoint_step,left_cell_id,right_cell_id,left_family_size,right_family_size,left_family_right_censored,right_family_right_censored,matching_tolerance,matched_count,unmatched_left_count,unmatched_right_count,total_absolute_match_difference,comparison_status,left_matched_median_fidelity,right_matched_median_fidelity,fidelity_change_right_minus_left,left_matched_median_retained_components,right_matched_median_retained_components,retained_component_change_right_minus_left,left_matched_median_pairwise_overlap,right_matched_median_pairwise_overlap,left_matched_structural_diversity,right_matched_structural_diversity,structural_diversity_change_right_minus_left
stage18-scaling-24a9adb84176,s1-step3400-to-step9050,matched_sparsity,1,3400,9050,s1-step3400-f99of100-d1of2,s1-step9050-f99of100-d1of2,0,7,False,False,5,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s1-step7450-to-step8150,matched_sparsity,1,7450,8150,s1-step7450-f99of100-d1of2,s1-step8150-f99of100-d1of2,0,0,False,False,5,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s1-step7450-to-step8500,matched_sparsity,1,7450,8500,s1-step7450-f99of100-d1of2,s1-step8500-f99of100-d1of2,0,0,False,False,5,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s1-step7450-to-step8650,matched_sparsity,1,7450,8650,s1-step7450-f99of100-d1of2,s1-step8650-f99of100-d1of2,0,0,False,False,5,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s1-step7450-to-step9050,matched_sparsity,1,7450,9050,s1-step7450-f99of100-d1of2,s1-step9050-f99of100-d1of2,0,7,False,False,5,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s1-step8150-to-step8500,matched_sparsity,1,8150,8500,s1-step8150-f99of100-d1of2,s1-step8500-f99of100-d1of2,0,0,False,False,5,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s1-step8150-to-step8650,matched_sparsity,1,8150,8650,s1-step8150-f99of100-d1of2,s1-step8650-f99of100-d1of2,0,0,False,False,5,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s1-step8150-to-step9050,matched_sparsity,1,8150,9050,s1-step8150-f99of100-d1of2,s1-step9050-f99of100-d1of2,0,7,False,False,5,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s1-step8500-to-step8650,matched_sparsity,1,8500,8650,s1-step8500-f99of100-d1of2,s1-step8650-f99of100-d1of2,0,0,False,False,5,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s1-step8500-to-step9050,matched_sparsity,1,8500,9050,s1-step8500-f99of100-d1of2,s1-step9050-f99of100-d1of2,0,7,False,False,5,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s1-step8650-to-step9050,matched_sparsity,1,8650,9050,s1-step8650-f99of100-d1of2,s1-step9050-f99of100-d1of2,0,7,False,False,5,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s2-step200-to-step3400,matched_sparsity,2,200,3400,s2-step200-f99of100-d1of2,s2-step3400-f99of100-d1of2,0,0,False,False,5,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s2-step200-to-step7450,matched_sparsity,2,200,7450,s2-step200-f99of100-d1of2,s2-step7450-f99of100-d1of2,0,0,False,False,5,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s2-step200-to-step8150,matched_sparsity,2,200,8150,s2-step200-f99of100-d1of2,s2-step8150-f99of100-d1of2,0,7,False,False,5,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s2-step200-to-step8500,matched_sparsity,2,200,8500,s2-step200-f99of100-d1of2,s2-step8500-f99of100-d1of2,0,7,False,False,5,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s2-step200-to-step8650,matched_sparsity,2,200,8650,s2-step200-f99of100-d1of2,s2-step8650-f99of100-d1of2,0,7,False,False,5,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s2-step200-to-step9050,matched_sparsity,2,200,9050,s2-step200-f99of100-d1of2,s2-step9050-f99of100-d1of2,0,7,False,False,5,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s2-step3400-to-step7450,matched_sparsity,2,3400,7450,s2-step3400-f99of100-d1of2,s2-step7450-f99of100-d1of2,0,0,False,False,5,0,0,0,0,both_families_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s2-step3400-to-step8150,matched_sparsity,2,3400,8150,s2-step3400-f99of100-d1of2,s2-step8150-f99of100-d1of2,0,7,False,False,5,0,0,7,0,left_family_empty,,,,,,,,,,,
stage18-scaling-24a9adb84176,s2-step3400-to-step8500,matched_sparsity,2,3400,8500,s2-step3400-f99of100-d1of2,s2-step8500-f99of100-d1of2,0,7,False,False,5,0,0,7,0,left_family_empty,,,,,,,,,,,
