stage18_run_id,global_cell_index,cell_id,model_seed,checkpoint_index,checkpoint_step,displayed_fidelity,displayed_jaccard_cutoff,primary_cell,family_size,empty_family,singleton_family,right_censored,search_status,stopping_reason,search_execution_mode,analysis_role,unavailable_control,included_in_stage19_universe
stage18-scaling-24a9adb84176,49,s0-step7450-f39of40-d1of4,0,3,7450,0.975,0.25,False,4,False,False,False,budget_exhaustion,requested_member_5_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,50,s0-step7450-f39of40-d1of2,0,3,7450,0.975,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,51,s0-step7450-f39of40-d3of4,0,3,7450,0.975,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,52,s0-step7450-f99of100-d1of4,0,3,7450,0.990,0.25,False,4,False,False,False,budget_exhaustion,requested_member_5_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,53,s0-step7450-f99of100-d1of2,0,3,7450,0.990,0.50,True,7,False,False,False,budget_exhaustion,requested_member_8_budget_exhaustion,fresh_execution,primary_checkpoint_matching_and_sensitivity,False,True
stage18-scaling-24a9adb84176,54,s0-step7450-f99of100-d3of4,0,3,7450,0.990,0.75,False,7,False,False,False,budget_exhaustion,requested_member_8_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,55,s0-step8150-f4of5-d1of4,0,4,8150,0.800,0.25,False,2,False,False,False,budget_exhaustion,requested_member_3_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,56,s0-step8150-f4of5-d1of2,0,4,8150,0.800,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,57,s0-step8150-f4of5-d3of4,0,4,8150,0.800,0.75,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,58,s0-step8150-f17of20-d1of4,0,4,8150,0.850,0.25,False,3,False,False,False,budget_exhaustion,requested_member_4_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
stage18-scaling-24a9adb84176,59,s0-step8150-f17of20-d1of2,0,4,8150,0.850,0.50,False,6,False,False,False,budget_exhaustion,requested_member_7_budget_exhaustion,fresh_execution,sensitivity_and_pareto,False,True
