cell_id,cell_index,circuit_i,circuit_j,maximum_absolute_difference,maximum_distance_subset,q1_absolute_difference,q2_absolute_difference,q3_absolute_difference,q4_absolute_difference,same_primary_transfer_group,stage18_run_id,model_seed,checkpoint_index,checkpoint_step,global_cell_index
s2-step7450-f17of20-d1of2,293,C1,C4,0.005540166204986097,Q1,0.005540166204986097,0.002192982456140302,0.0025062656641603454,0.0025510204081633514,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C1,C5,0.010025062656641603,Q2,0.0015389350569405824,0.010025062656641603,0.0028195488721803885,0.0003188775510204467,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C1,C6,0.011080332409972304,Q1,0.011080332409972304,0.00187969924812037,0.005639097744360888,0.004464285714285698,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C1,C7,0.005952380952380931,Q2,0.0015389350569405824,0.005952380952380931,0.00187969924812037,0.0022321428571429047,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C2,C3,0.013711734693877653,Q4,0.007694675284703023,0.00877192982456143,0.0028195488721803885,0.013711734693877653,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C2,C4,0.0054209183673470385,Q4,0.004924592182209975,0.0,0.0006265664160400863,0.0054209183673470385,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C2,C5,0.012003693444136654,Q1,0.012003693444136654,0.007832080200501301,0.00031328320802004317,0.0031887755102041337,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C2,C6,0.0073341836734693855,Q4,0.000615574022776233,0.004072681704260672,0.0025062656641604564,0.0073341836734693855,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C2,C7,0.012003693444136654,Q1,0.012003693444136654,0.003759398496240629,0.005012531328320802,0.005102040816326592,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C3,C4,0.00877192982456143,Q2,0.0027700831024930483,0.00877192982456143,0.002192982456140302,0.008290816326530615,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C3,C5,0.016604010025062732,Q2,0.004309018159433631,0.016604010025062732,0.0025062656641603454,0.01052295918367352,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C3,C6,0.008310249307479256,Q1,0.008310249307479256,0.0046992481203007586,0.005325814536340845,0.0063775510204082675,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C3,C7,0.01253132832080206,Q2,0.004309018159433631,0.01253132832080206,0.002192982456140413,0.008609693877551061,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C4,C5,0.007832080200501301,Q2,0.007079101261926679,0.007832080200501301,0.00031328320802004317,0.0022321428571429047,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C4,C6,0.005540166204986208,Q1,0.005540166204986208,0.004072681704260672,0.0031328320802005427,0.001913265306122347,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C4,C7,0.007079101261926679,Q1,0.007079101261926679,0.003759398496240629,0.004385964912280715,0.0003188775510204467,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C5,C6,0.012619267466912887,Q1,0.012619267466912887,0.011904761904761973,0.0028195488721804995,0.004145408163265252,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C5,C7,0.0046992481203007586,Q3,0.0,0.004072681704260672,0.0046992481203007586,0.001913265306122458,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d1of2,293,C6,C7,0.012619267466912887,Q1,0.012619267466912887,0.007832080200501301,0.007518796992481258,0.0022321428571427937,True,stage18-scaling-24a9adb84176,2,3,7450,293
s2-step7450-f17of20-d3of4,294,C1,C2,0.010464758387196071,Q1,0.010464758387196071,0.002192982456140302,0.0031328320802004317,0.002869897959183687,True,stage18-scaling-24a9adb84176,2,3,7450,294
s2-step7450-f17of20-d3of4,294,C1,C3,0.010841836734693966,Q4,0.0027700831024930483,0.006578947368421129,0.00031328320802004317,0.010841836734693966,True,stage18-scaling-24a9adb84176,2,3,7450,294
s2-step7450-f17of20-d3of4,294,C1,C4,0.005540166204986097,Q1,0.005540166204986097,0.002192982456140302,0.0025062656641603454,0.0025510204081633514,True,stage18-scaling-24a9adb84176,2,3,7450,294
s2-step7450-f17of20-d3of4,294,C1,C5,0.010025062656641603,Q2,0.0015389350569405824,0.010025062656641603,0.0028195488721803885,0.0003188775510204467,True,stage18-scaling-24a9adb84176,2,3,7450,294
